Tomorrow_Direction,Date,Open,High,Low,Close,Volume,Range,ROC,Weekly_ROC,Standardized_Range_20,Standardized_ROC_20,Standardized_Weekly_ROC_20,Stochastic_20,Standardized_Close_20,Standardized_Volume_20,Day_of_Week,MACD_20_50,ADX_20
-1,2003.07.10,1.1351,1.1396,1.131,1.1383,11447,0.0076039,0.0028191,-0.0100017,-0.7345227,0.7110463,-0.2011017,0.1854599,-1.0018622,1.1511074,4,0.00266497,22.87457718
-1,2003.07.11,1.138,1.1381,1.1275,1.1281,11256,0.0094013,-0.0086995,-0.0173345,-0.1248064,-1.1035595,-0.6961819,0.0341246,-1.535131,0.8628777,5,0.00132482,23.31486154
-1,2003.07.14,1.1289,1.1312,1.1242,1.1284,10681,0.0062267,-0.0004429,-0.002916,-1.0499802,0.3092479,0.5893134,0.0669856,-1.4298993,0.1814222,1,0.00017171,24.51037793
1,2003.07.15,1.1282,1.1341,1.1155,1.1179,11501,0.0166741,-0.0091296,-0.0122813,1.8549594,-1.126588,-0.1543436,0.0368098,-1.9705097,1.0368457,2,-0.00141954,26.27840336
-1,2003.07.16,1.1176,1.1236,1.1112,1.1223,11557,0.0111591,0.0042054,-0.0112765,0.3346276,1.0268819,-0.0339005,0.1759113,-1.5083619,0.9962062,3,-0.00255099,28.33517271
1,2003.07.17,1.1221,1.1253,1.1155,1.1216,11496,0.0087853,-0.0004456,-0.0144112,-0.2714833,0.2753586,-0.2872872,0.1661342,-1.4723934,0.9169888,4,-0.00356422,29.56875561
1,2003.07.18,1.1216,1.1309,1.1172,1.1272,11123,0.0122628,0.0049929,-0.0015059,0.8650508,1.1094326,0.8833182,0.3118908,-0.9582642,0.4837845,5,-0.00411797,29.28612853
-1,2003.07.21,1.125,1.136,1.1242,1.1348,10754,0.0104964,0.0087111,0.00585,0.2765128,1.5543479,1.4456192,0.460039,-0.2935534,0.1027125,1,-0.00415818,27.72436567
1,2003.07.22,1.1349,1.1377,1.1307,1.133,11087,0.0061909,-0.0016742,0.0137795,-1.0066924,-0.1668308,1.9184944,0.4249513,-0.3757549,0.4349499,2,-0.00427844,25.63366602
-1,2003.07.23,1.133,1.1495,1.1316,1.1485,11007,0.0158183,0.0136805,0.0235273,1.7371796,2.0073922,2.2580396,0.744511,0.9759176,0.3487742,3,-0.00349866,24.24467337
1,2003.07.24,1.1485,1.1514,1.1423,1.1473,10559,0.0079664,-0.0010448,0.0229137,-0.4375419,-0.2233328,1.9419076,0.7205589,0.8354431,-0.1581159,4,-0.00287497,23.43471934
-1,2003.07.25,1.1474,1.1553,1.1444,1.1513,10683,0.0095246,0.003399,0.0233778,-0.0427751,0.4424407,1.7122689,0.8003992,1.1050199,-0.0529935,5,-0.00209798,23.43066202
-1,2003.07.28,1.1497,1.1523,1.1452,1.1489,10444,0.0061998,-0.0006958,0.0123359,-0.9161169,-0.1264552,0.8685026,0.752495,0.936339,-0.3992238,1,-0.00154917,23.42699111
-1,2003.07.29,1.1487,1.1543,1.143,1.144,11188,0.0098863,-0.0040916,0.0097087,0.1358341,-0.6089895,0.6641492,0.7130435,0.6168152,0.4337792,2,-0.00134083,22.75466057
-1,2003.07.30,1.1441,1.1456,1.1336,1.1358,11013,0.0105857,-0.0072546,-0.0110579,0.2755259,-1.056355,-0.7012336,0.5578231,-0.0428864,0.1400427,3,-0.0016141,21.26764846
1,2003.07.31,1.1357,1.1367,1.1225,1.1233,11114,0.0126503,-0.0109184,-0.021004,0.828143,-1.4753006,-1.228869,0.2743764,-1.1216602,0.2008512,4,-0.0025459,21.53372208
1,2003.08.01,1.1234,1.1285,1.1134,1.1276,10795,0.0135621,0.0037387,-0.0192224,1.0002609,0.6486911,-1.0105459,0.3718821,-0.6299578,-0.6753068,5,-0.00310549,22.74646907
1,2003.08.04,1.1284,1.1378,1.1261,1.1355,10462,0.0103898,0.0062921,-0.0114913,0.1292121,0.9588508,-0.5510055,0.5510204,0.1486417,-1.4407048,1,-0.00313776,21.74876388
-1,2003.08.05,1.1356,1.1403,1.1307,1.1389,10296,0.0084903,0.002906,-0.0045451,-0.4833135,0.3904305,-0.1665254,0.6281179,0.4541229,-1.7948146,2,-0.00296361,20.24728405
1,2003.08.06,1.1389,1.143,1.1327,1.1336,10124,0.0090933,-0.0046536,-0.0018491,-0.3600851,-0.7486702,-0.0328242,0.5079365,-0.071995,-1.9024375,3,-0.00309808,18.34114195
-1,2003.08.07,1.1337,1.1419,1.1319,1.1376,10305,0.0088347,0.0034401,0.0126402,-0.4764513,0.5239583,0.8724109,0.5986395,0.3347553,-1.3289772,4,-0.00297931,16.75738553
1,2003.08.08,1.1376,1.1384,1.1286,1.1307,9789,0.0086833,-0.0060654,0.0020383,-0.5137871,-1.0219754,0.0920558,0.4421769,-0.3766793,-2.1033607,5,-0.00325149,16.09936225
-1,2003.08.11,1.1306,1.1383,1.1264,1.1362,9049,0.0105646,0.0049531,0.0005284,0.0631965,0.7083073,-0.0264028,0.5668934,0.1435503,-2.6923614,1,-0.00316783,15.91467134
1,2003.08.12,1.1362,1.1377,1.1273,1.1278,9674,0.0092256,-0.0073931,-0.0097462,-0.3410831,-1.3040547,-0.7660227,0.3764172,-0.8256546,-1.5049118,2,-0.00355386,15.74757004
-1,2003.08.13,1.1279,1.1334,1.1218,1.1317,10613,0.0103405,0.0033691,-0.0017641,0.157084,0.4594208,-0.2371232,0.4367542,-0.4726634,0.0577141,3,-0.00365766,16.66179908
-1,2003.08.14,1.1317,1.1342,1.1226,1.1276,10418,0.0103332,-0.0036229,-0.0087904,0.1212498,-0.6517118,-0.7834537,0.3389021,-1.0355786,-0.193097,4,-0.00396393,17.24397802
-1,2003.08.15,1.1275,1.1291,1.1241,1.1264,10498,0.004448,-0.0009756,-0.0037148,-2.0456307,-0.1774912,-0.3982005,0.3102625,-1.1706885,0.0082222,5,-0.00428259,17.77071135
-1,2003.08.18,1.1267,1.1272,1.1126,1.1149,9223,0.0131224,-0.0104731,-0.0187467,1.2505969,-1.5585792,-1.3480488,0.0538642,-2.1223339,-1.985657,1,-0.00518785,19.88437147
-1,2003.08.19,1.1149,1.1155,1.1053,1.1145,9923,0.0092283,-0.0003588,-0.0118805,-0.284573,0.0696479,-0.7816509,0.184,-1.8605907,-0.7396163,2,-0.00597782,22.84133286
-1,2003.08.20,1.1143,1.115,1.1081,1.1122,9686,0.0062269,-0.0018846,-0.0172307,-1.4410435,-0.0617872,-1.0755896,0.138,-1.819547,-1.0339992,3,-0.00677104,25.51667888
-1,2003.08.21,1.112,1.1125,1.0884,1.0928,10109,0.0221426,-0.0172662,-0.0307761,3.3360207,-2.3922366,-1.8979632,0.0657698,-2.7080655,-0.2758552,4,-0.00852212,28.88647797
-1,2003.08.22,1.0929,1.0948,1.0835,1.0887,10043,0.0104292,-0.003843,-0.0337268,0.0578466,-0.1814669,-1.9668202,0.0734463,-2.4510141,-0.3376373,5,-0.01024217,32.33165153
1,2003.08.25,1.0869,1.0923,1.0844,1.0848,9679,0.0072851,-0.0019321,-0.0269979,-0.8478749,0.1434208,-1.3258603,0.0183616,-2.2532422,-0.8841779,1,-0.01191761,35.44871333
1,2003.08.26,1.0851,1.0911,1.0788,1.0862,10296,0.0114016,0.0010137,-0.0252176,0.2969335,0.582361,-1.0900721,0.1107784,-1.8749176,0.2590813,2,-0.01325109,38.66857206
1,2003.08.27,1.0862,1.0935,1.0831,1.0873,10606,0.0096021,0.0010127,-0.0222122,-0.1980015,0.5193209,-0.7800358,0.1323988,-1.5910702,0.9133058,3,-0.01429915,40.56551811
1,2003.08.28,1.0872,1.0917,1.0809,1.0883,10189,0.0099917,0.0010118,-0.004209,-0.05095,0.445116,0.626549,0.1479751,-1.3733834,0.2168429,4,-0.01510078,42.51034282
-1,2003.08.29,1.0884,1.1,1.0871,1.0985,10087,0.0118664,0.0092797,0.0106726,0.5195808,1.7236027,1.6122741,0.3068536,-0.7919393,0.0778452,5,-0.01516979,41.69031994
-1,2003.09.01,1.099,1.1019,1.0953,1.0963,9051,0.0060257,-0.0024568,0.0103216,-1.0834732,-0.1298125,1.416141,0.2725857,-0.8123925,-1.966313,1,-0.01529638,39.9688463
1,2003.09.02,1.0961,1.0968,1.0799,1.0808,10654,0.0156496,-0.0139586,-0.0049715,1.4450508,-1.7984373,0.3118716,0.0311526,-1.4191649,1.3255758,2,-0.01621763,39.95221725
1,2003.09.03,1.0808,1.0875,1.0762,1.0842,11335,0.0104999,0.0031458,-0.0027594,0.0546975,0.8209437,0.476061,0.1217656,-1.1343953,2.2109509,3,-0.01676742,40.38208888
1,2003.09.04,1.0841,1.0953,1.0809,1.094,10566,0.0133222,0.009132,0.0051452,0.740099,1.6112694,1.1197476,0.2861736,-0.5791189,0.8406795,4,-0.01663369,39.06154724
-1,2003.09.05,1.0941,1.1114,1.0914,1.1112,10484,0.0183251,0.0156293,0.011101,1.7696583,2.1092714,1.4720126,0.5636071,0.3783483,0.6379817,5,-0.01549174,35.82449107
1,2003.09.08,1.1098,1.1132,1.1047,1.1071,10333,0.0076944,-0.0024329,0.0100356,-0.7525983,-0.1672798,1.3123348,0.502439,0.2569041,0.2993844,1,-0.01467089,32.42573562
-1,2003.09.09,1.1071,1.1243,1.1055,1.1228,10297,0.0170059,0.0141812,0.0388601,1.3088285,1.7297471,2.5325973,0.8034483,1.2281415,0.1776788,2,-0.013023,30.5302554
-1,2003.09.10,1.1228,1.1239,1.1162,1.1205,10142,0.0068984,-0.0020485,0.0335762,-0.9274102,-0.207818,1.912278,0.7637931,1.1855954,-0.0761146,3,-0.01167073,28.8152971
1,2003.09.11,1.1206,1.1275,1.1154,1.1203,10459,0.0108481,-0.0002677,0.0239466,-0.0561172,-0.0113953,1.2859552,0.8336484,1.2401112,0.5382121,4,-0.01046285,27.8652564
1,2003.09.12,1.1203,1.1327,1.1135,1.1292,9954,0.0172429,0.0079443,0.0174806,1.2467316,0.9168949,0.9047881,0.9380531,1.790678,-0.3959665,5,-0.00887518,27.52922514
-1,2003.09.15,1.1262,1.1313,1.1244,1.1285,9742,0.0061366,0.0020423,0.0193298,-1.149284,0.1434651,0.897457,0.9256637,1.6074506,-0.932814,1,-0.00750112,27.22519686
1,2003.09.16,1.1285,1.1322,1.1154,1.1172,9278,0.0150619,-0.0100133,-0.0049875,0.73256,-1.2495476,-0.2507146,0.7256637,0.8964766,-1.707155,2,-0.00691171,25.28466527
-1,2003.09.17,1.1171,1.1303,1.1138,1.1284,9835,0.0148141,0.0101155,0.0069606,0.603698,1.0584097,0.2563089,0.9238938,1.4536951,-0.6382458,3,-0.00574608,23.25044714
1,2003.09.18,1.1283,1.1346,1.1226,1.1249,10483,0.0106895,-0.0030134,0.004106,-0.2232494,-0.6297212,0.0400296,0.8339041,1.127657,0.6032792,4,-0.00490745,22.32990135
1,2003.09.19,1.1248,1.1394,1.1238,1.1384,9756,0.0138815,0.012091,0.0108329,0.5659911,1.2349022,0.3007617,0.9841772,1.651982,-0.7833715,5,-0.0034038,22.21392069
-1,2003.09.22,1.1452,1.1508,1.1414,1.1462,11354,0.0082355,0.0008732,0.0156845,-0.9321749,-0.2329542,0.502638,0.9383378,1.799484,1.951466,1,-0.00164703,23.78742028
1,2003.09.23,1.1463,1.1529,1.1433,1.1435,9963,0.0083967,-0.0024426,0.0236326,-0.8334776,-0.6353919,0.9468803,0.8774446,1.4861391,-0.4643411,2,-0.000265,25.53483423
-1,2003.09.24,1.1436,1.1507,1.1427,1.1488,10106,0.007001,0.004547,0.0181689,-1.128617,0.24184,0.4958899,0.946545,1.5579287,-0.1723664,3,0.00123427,26.83703989
1,2003.09.25,1.1489,1.1537,1.1458,1.1473,10521,0.0068947,-0.0013926,0.0200036,-1.0836636,-0.5041849,0.5717751,0.9174194,1.3448502,0.5285438,4,0.00244892,28.61355896
1,2003.09.26,1.147,1.1502,1.1439,1.1478,9738,0.0055075,0.0006975,0.0022703,-1.2830657,-0.1855224,-0.898186,0.923871,1.2315924,-0.8022681,5,0.00352366,29.06848082
1,2003.09.29,1.1459,1.1641,1.1394,1.162,10569,0.0216781,0.0140501,0.0136962,2.0888397,1.3844326,0.0497969,0.9761092,1.6777904,0.5628186,1,0.00524026,30.40888679
1,2003.09.30,1.1616,1.1739,1.1572,1.1658,12003,0.0144314,0.0036157,0.0194124,0.5764187,-0.0297136,0.4568745,0.9170931,1.7220988,2.5853624,2,0.00692579,32.40346426
-1,2003.10.01,1.1653,1.1739,1.1643,1.1731,10442,0.0082453,0.0066936,0.0210636,-0.7099245,0.3851532,0.5300669,0.9913978,1.9179759,0.2353298,3,0.00877408,34.20808196
-1,2003.10.02,1.1731,1.1771,1.1662,1.1685,11330,0.0093466,-0.0039212,0.0187446,-0.4353353,-1.0241248,0.2499874,0.8996499,1.5785635,1.5503935,4,0.01009029,36.2165064
1,2003.10.03,1.1686,1.1724,1.1551,1.1582,10473,0.0149771,-0.0088995,0.0107339,0.8185546,-1.57847,-0.5334328,0.7389503,0.9581933,0.2099327,5,0.01061974,35.61125198
1,2003.10.06,1.1574,1.1726,1.1531,1.1714,10230,0.0169109,0.0120961,0.0084366,1.1206513,1.2784436,-0.7465609,0.9203911,1.5142301,-0.1623018,1,0.0117798,34.71581703
1,2003.10.07,1.1713,1.1815,1.1697,1.1773,10618,0.0100881,0.0051225,0.0102978,-0.2848498,0.4038482,-0.4960961,0.9382353,1.612304,0.4175668,2,0.01307476,35.21320158
-1,2003.10.08,1.1773,1.1843,1.1765,1.1821,10571,0.0066298,0.0040771,0.007672,-1.0503195,0.2059952,-0.7383005,0.9689266,1.646699,0.311064,3,0.01442052,36.17315596
1,2003.10.09,1.1821,1.1865,1.1685,1.1745,10780,0.0154044,-0.0064292,0.0050488,0.8348229,-1.2672031,-0.9820861,0.8356164,1.1585234,0.605607,4,0.01511074,35.53717434
-1,2003.10.10,1.1745,1.1851,1.1703,1.1799,10077,0.0126463,0.0045977,0.0194401,0.2952159,0.3457831,0.9099406,0.909216,1.2894919,-0.4908584,5,0.01595682,34.9617624
1,2003.10.13,1.1809,1.1819,1.1652,1.1714,9594,0.0143323,-0.0080447,0.0000854,0.6036404,-1.3497047,-1.4526656,0.7922971,0.7794751,-1.2122918,1,0.01615651,33.4097141
-1,2003.10.14,1.1713,1.1767,1.1582,1.1733,11410,0.0159731,0.0017075,-0.0033976,0.9682878,-0.089632,-1.9450835,0.8184319,0.8178072,1.4406465,2,0.0163762,30.84414052
-1,2003.10.15,1.1732,1.1748,1.1588,1.1616,11206,0.0138074,-0.0098875,-0.017342,0.4804563,-1.6106132,-2.7590026,0.6103286,0.0508535,1.0137819,3,0.01585055,28.52290728
1,2003.10.16,1.1616,1.1698,1.1569,1.1599,10916,0.0111505,-0.0014635,-0.0124308,-0.1467246,-0.4122493,-1.9628931,0.5757576,-0.1994875,0.5200711,4,0.01523917,25.95033586
-1,2003.10.17,1.1599,1.1687,1.1544,1.1679,10255,0.0123874,0.0068971,-0.0110086,0.1614653,0.8780608,-1.6097765,0.6050955,0.3218166,-0.5727934,5,0.01509897,23.89183075
1,2003.10.20,1.1704,1.1718,1.1602,1.1627,10855,0.0099983,-0.0065789,-0.0073423,-0.4281414,-1.0786495,-1.1765073,0.4946921,-0.1903031,0.4583031,1,0.0146294,22.08470424
1,2003.10.21,1.1626,1.1704,1.1617,1.1671,10219,0.007489,0.0038706,-0.0051995,-1.0063414,0.4129813,-0.9128247,0.5881104,0.1057131,-0.6467138,2,0.01441306,20.44968502
-1,2003.10.22,1.1668,1.183,1.165,1.1807,10453,0.0154506,0.0119129,0.0164428,0.7908308,1.4603018,0.8774702,0.8768577,1.3381357,-0.279657,3,0.01493308,20.97208623
-1,2003.10.23,1.1809,1.1847,1.1755,1.1798,10645,0.0078265,-0.0009315,0.0171567,-1.0716687,-0.333622,0.9609727,0.8577495,1.1888265,0.0451245,4,0.01527893,21.8720975
-1,2003.10.24,1.1797,1.186,1.1762,1.1786,10405,0.0083319,-0.0009324,0.0070062,-1.0330851,-0.321557,0.0907166,0.8322718,1.0377237,-0.4618639,5,0.01545528,22.99033083
-1,2003.10.27,1.1773,1.1787,1.1719,1.1739,10408,0.0058025,-0.002888,0.0097196,-1.6495108,-0.5191748,0.338211,0.6227545,0.3464047,-0.4391793,1,0.01528755,21.52539593
-1,2003.10.28,1.1739,1.1746,1.1657,1.1676,10970,0.0076349,-0.0053667,0.0006856,-1.0167021,-0.8169459,-0.3601475,0.4341317,-0.5383208,0.8527167,2,0.01473171,20.71413798
-1,2003.10.29,1.1677,1.1723,1.1658,1.1667,10255,0.0055756,-0.0008564,-0.0120247,-1.4927075,-0.0864096,-1.3401517,0.4071856,-0.6132797,-0.7339243,3,0.01414308,19.98014269
-1,2003.10.30,1.1667,1.1759,1.1611,1.1627,10607,0.0127465,-0.0034285,-0.0144104,0.4036971,-0.4877677,-1.4018212,0.2874251,-1.0903946,0.1448156,4,0.01335449,20.11475605
-1,2003.10.31,1.1626,1.166,1.1563,1.1586,10093,0.0083888,-0.0034406,-0.0158838,-0.699507,-0.5552827,-1.3648648,0.1646707,-1.6483385,-1.0265344,5,0.01238942,21.30252983
1,2003.11.03,1.1582,1.1623,1.1428,1.1466,9551,0.0170634,-0.0100155,-0.0232558,1.6812256,-1.5123007,-1.7220704,0.0869565,-2.5002551,-1.9922544,1,0.01083195,23.53572165
-1,2003.11.04,1.1466,1.1515,1.1427,1.1494,9197,0.0077011,0.002442,-0.0156718,-0.8394136,0.6374402,-1.01583,0.152968,-1.8720051,-2.214377,2,0.00959449,25.5733978
-1,2003.11.05,1.1493,1.1501,1.1413,1.1438,9210,0.0077105,-0.0047855,-0.019628,-0.8646379,-0.5462763,-1.1925544,0.0553097,-2.0666461,-1.8624077,3,0.00816922,27.66908688
1,2003.11.06,1.1439,1.1468,1.1389,1.1414,10069,0.0069365,-0.0021855,-0.018235,-0.9773573,-0.1285557,-0.9826753,0.0530786,-1.9317526,-0.4113076,4,0.0067653,30.02500245
-1,2003.11.07,1.1411,1.1545,1.1376,1.152,10355,0.0148558,0.0095522,-0.0053531,1.1627589,1.8090045,0.0971326,0.2975207,-0.9556219,0.0351742,5,0.00611347,30.23409225
1,2003.11.10,1.1503,1.1538,1.1461,1.147,9762,0.0067184,-0.0028688,0.0003489,-0.9401999,-0.3314295,0.5767335,0.1942149,-1.2367519,-0.9711382,1,0.0052439,30.42326874
1,2003.11.11,1.147,1.1533,1.1444,1.1519,9485,0.007777,0.004272,0.0022622,-0.577208,0.8739229,0.7056159,0.2954545,-0.7527877,-1.3332301,2,0.00474293,31.00447717
1,2003.11.12,1.1514,1.1663,1.1506,1.163,10333,0.0136451,0.0100747,0.0166973,1.12988,1.6742871,1.6651639,0.5247934,0.1600562,0.2492929,3,0.00491157,28.49638816
1,2003.11.13,1.1629,1.1749,1.1629,1.1735,10653,0.010319,0.0091151,0.0283937,0.1754384,1.351725,2.1222795,0.7417355,0.948057,0.9113821,4,0.00562806,27.15679869
-1,2003.11.14,1.1735,1.1806,1.1728,1.1784,10807,0.0066508,0.0041755,0.0244284,-0.8103458,0.5916041,1.6137385,0.8429752,1.2517359,1.1192138,5,0.00650439,27.33490675
1,2003.11.17,1.1814,1.1852,1.1724,1.1748,10728,0.0109178,-0.0055866,0.0242371,0.4181714,-1.0220233,1.4208496,0.768595,0.9042402,0.9954114,1,0.00704019,28.06957799
-1,2003.11.18,1.1747,1.1978,1.1735,1.1965,11013,0.0207073,0.0185579,0.0391697,2.5023917,2.3750323,1.9556015,0.9784053,2.1192562,1.3866869,2,0.00869534,29.4715277
1,2003.11.19,1.1968,1.1981,1.1873,1.1892,11454,0.0090963,-0.0063503,0.0226159,-0.1793032,-0.9692252,1.0254389,0.8528926,1.5498728,1.8862596,3,0.00969269,30.77813904
1,2003.11.20,1.1893,1.1968,1.1881,1.1911,10647,0.0073226,0.0015135,0.0149979,-0.6101017,0.1378618,0.6269899,0.8842975,1.5601652,0.5669669,4,0.01062991,31.96031121
-1,2003.11.21,1.1911,1.1941,1.1856,1.1925,10279,0.0071694,0.0011754,0.0093956,-0.6288696,0.0744905,0.3196248,0.907438,1.5237056,-0.0242082,5,0.01148335,31.89655277
1,2003.11.24,1.1912,1.1921,1.1759,1.1773,9705,0.0137767,-0.0116689,0.0022133,0.8950891,-1.5899729,-0.0448782,0.6561983,0.6353912,-0.8865207,1,0.0113308,29.90916429
1,2003.11.25,1.1773,1.1823,1.1754,1.18,10498,0.0058703,0.0022934,-0.0140374,-1.0081583,0.2298845,-0.8601254,0.7008264,0.742962,0.4347488,2,0.01130713,27.89201042
-1,2003.11.26,1.18,1.195,1.1772,1.1932,10731,0.0151206,0.0111864,0.0032792,1.1072372,1.292135,0.0107471,0.9190083,1.3402451,0.7677996,3,0.01198383,27.66601525
1,2003.11.27,1.1928,1.1944,1.1886,1.1916,8817,0.0048797,-0.001006,0.0004198,-1.2215242,-0.3035958,-0.1861289,0.892562,1.1370849,-1.9668463,4,0.01243767,27.46154342
-1,2003.11.28,1.1916,1.2019,1.1899,1.1998,9677,0.0100849,0.0068815,0.0072196,-0.0306728,0.6566387,0.1269949,0.9673406,1.387045,-0.6772792,5,0.01324512,28.44324857
1,2003.12.01,1.1988,1.2044,1.1935,1.1971,10994,0.0091328,-0.0014181,0.0168181,-0.1730901,-0.5114945,0.5948156,0.8907186,1.1374171,1.0956949,1,0.01374629,29.70211396
1,2003.12.02,1.1968,1.2116,1.1943,1.2106,10826,0.0144855,0.0115307,0.0259322,1.06406,1.1744379,1.0444483,0.9864865,1.6017455,0.7763982,2,0.01488691,31.46030691
-1,2003.12.03,1.2106,1.2131,1.2064,1.2118,11116,0.0055537,0.0009912,0.0159289,-1.0805685,-0.2766377,0.3458144,0.9827815,1.5103368,1.1117064,3,0.01589005,33.35785486
1,2003.12.04,1.2117,1.2159,1.2028,1.2083,11001,0.0108913,-0.002806,0.0140148,0.1567214,-0.7896301,0.1200271,0.9029374,1.2587951,0.8503547,4,0.01650664,33.95362823
1,2003.12.05,1.2085,1.2188,1.2062,1.2188,10865,0.010446,0.008523,0.0166834,0.1056348,0.7680132,0.2531266,1,1.6332447,0.5980695,5,0.01756922,34.8788165
1,2003.12.08,1.2167,1.2242,1.2151,1.223,10487,0.0074891,0.0051779,0.0218917,-0.656805,0.2575955,0.60031,0.9849624,1.7346929,-0.0293792,1,0.01866258,36.57754334
-1,2003.12.09,1.2228,1.2278,1.2186,1.2249,10480,0.0075496,0.0017174,0.0118123,-0.6372936,-0.2072505,-0.2797985,0.9624352,1.7314313,-0.1273269,2,0.01964975,38.5863863
1,2003.12.10,1.2249,1.2268,1.2151,1.2213,11277,0.0096288,-0.002939,0.0079228,-0.0587883,-0.7728476,-0.5681282,0.8998459,1.4168453,1.1017629,3,0.02023281,39.18248186
1,2003.12.11,1.2212,1.2237,1.2114,1.2226,11133,0.0101535,0.0011464,0.0116674,0.0800117,-0.145283,-0.1891896,0.9061372,1.3584917,0.8121382,4,0.02073692,38.57809763
1,2003.12.12,1.2227,1.2309,1.2208,1.2276,10328,0.0082733,0.0040075,0.0089587,-0.4370147,0.2682472,-0.3659238,0.9435897,1.489301,-0.4394947,5,0.02137779,39.17251356
1,2003.12.15,1.2133,1.2327,1.2132,1.2315,11397,0.0160732,0.0150004,0.0071148,1.4631378,1.630844,-0.4643916,0.9797297,1.5672103,1.1708707,1,0.02207354,38.36805503
1,2003.12.16,1.2314,1.2365,1.2302,1.2333,11095,0.0051211,0.001543,0.0068577,-1.2873813,-0.1244321,-0.4156558,0.9476268,1.4788216,0.696797,2,0.02269674,38.5817543
1,2003.12.17,1.2334,1.2424,1.2296,1.2404,10930,0.0104099,0.0056754,0.0157222,0.2813594,0.459808,0.6369108,0.9701493,1.6494812,0.5028165,3,0.02355146,39.38352431
-1,2003.12.18,1.24,1.2443,1.2359,1.2423,11001,0.0067967,0.0018548,0.0160301,-0.7895343,-0.1821712,0.664133,0.9709724,1.5474607,0.582168,4,0.02431294,40.38719512
1,2003.12.19,1.2421,1.2435,1.2344,1.2382,9880,0.007372,-0.0031398,0.0205225,-0.6223391,-0.9589679,1.0830505,0.9114659,1.2031002,-1.1228728,5,0.02465438,40.68823958
1,2003.12.22,1.2382,1.2449,1.235,1.2408,10095,0.0080162,0.0020998,0.0076336,-0.3596449,-0.2578802,-0.3990233,0.9410072,1.2556084,-0.8532244,1,0.02500477,41.16895348
1,2003.12.23,1.2404,1.243,1.2384,1.2405,9442,0.0037145,0.0000806,0.0057564,-1.5952523,-0.6257758,-0.9632377,0.9350074,1.181252,-1.6653301,2,0.02519916,41.60388511
-1,2003.12.25,1.2449,1.2464,1.2437,1.2449,3671,0.0021709,0,0.0022542,-1.9096931,-0.620796,-1.5605027,0.9581882,1.2602363,-3.8799804,4,0.02569971,43.88702525
1,2003.12.26,1.245,1.2472,1.2421,1.2422,6712,0.0041059,-0.002249,0.0032305,-1.1920208,-0.9878674,-1.3302182,0.9052045,1.001019,-1.8074724,5,0.0256131,43.43320564
1,2003.12.29,1.2433,1.2512,1.2426,1.2492,9377,0.006921,0.0047454,0.0070945,-0.3364869,0.4072234,-0.6740183,0.9648506,1.4540589,-0.33293,1,0.02583431,43.79202925
1,2003.12.30,1.2492,1.2565,1.2478,1.2549,9395,0.0069723,0.0045629,0.0114452,-0.235598,0.4871747,0.1101385,0.9702048,1.7104797,-0.2855748,2,0.02624945,44.95841438
